ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,z,plate,fiberID,mjd
128.66621,38.362422,16.02666,15.02645,14.67693,14.4331,14.30188,0.04075935,827,620,52312
129.66559,38.335602,17.48027,15.92972,15.35039,15.04568,14.84111,0.04098516,828,56,52317
128.68822,38.342187,17.2433,16.14871,15.61836,15.29835,15.0556,0.04019263,828,245,52317
134.21777,41.523252,18.10312,16.36616,15.40279,14.88775,14.45371,0.04063708,830,157,52293
135.61012,42.318402,18.75035,17.50885,17.05284,16.82135,16.68899,0.04081057,831,134,52294
233.14404,38.916215,17.18652,15.35585,14.55698,14.17542,13.88309,0.04041786,1293,25,52765
233.43522,39.228324,17.2084,15.5754,14.89061,14.57892,14.34406,0.04028945,1293,635,52765
233.12372,38.981607,19.66543,17.93173,17.20884,16.86726,16.61611,0.04025825,1294,375,52753
236.75108,36.838889,17.62456,16.43617,16.07239,15.83333,15.68328,0.04010864,1416,526,52875
153.87437,13.059055,17.30412,16.292,15.95792,15.74905,15.62321,0.04035212,1745,551,53061
194.2199,14.874311,17.50823,16.08455,15.41012,15.05196,14.76542,0.04018631,1771,392,53498
202.4238,13.671456,18.01188,16.86135,16.28685,15.93631,15.64675,0.04034591,1775,305,53847
123.04245,22.330786,18.34659,16.52336,15.71456,15.31358,15.01693,0.04002455,1924,368,53330
203.50095,34.15396,17.85704,16.86633,16.52043,16.30841,16.20574,0.04065829,1993,95,53762
170.83934,34.655208,18.35489,17.05151,16.42051,16.1053,15.84704,0.04063159,2100,368,53713
170.83476,34.66118,17.21668,15.38681,14.5678,14.16606,13.88811,0.04084451,2111,35,53467
170.19499,35.064446,18.81009,17.11471,16.31247,15.92675,15.63647,0.04066731,2111,154,53467
213.79403,28.657618,18.32121,17.18792,16.57694,16.23729,16.00231,0.0402181,2126,153,53794
216.0708,31.415079,16.95956,15.87132,15.34577,15.02495,14.79352,0.04056633,2129,584,54252
218.46666,27.345233,18.01736,15.92495,15.04887,14.58002,14.17203,0.04072167,2134,61,53876
241.1277,22.006169,18.16652,17.27805,16.95214,16.72183,16.5702,0.04080866,2173,565,53874
241.19323,21.957264,17.94987,16.43114,15.69526,15.29035,14.98765,0.04006772,2173,615,53874
148.04373,18.079968,17.94798,16.20517,15.37789,14.92865,14.56218,0.04072206,2370,116,53764
156.14108,20.135634,18.23144,17.20522,16.84684,16.55536,16.41282,0.04096542,2375,475,53770
171.52156,22.057051,17.80049,16.58773,16.17281,15.9372,15.83101,0.04049988,2500,437,54178
241.10033,12.747101,18.58248,17.39934,16.95235,16.72401,16.61508,0.04044935,2525,388,54569
241.69072,12.480927,17.52359,15.73607,14.94253,14.57268,14.26534,0.0403734,2525,462,54569
241.763,12.417042,19.24817,17.93168,17.49035,17.26951,17.12626,0.04048726,2525,464,54569
242.17251,12.23989,18.72841,17.195,16.43622,16.07968,15.77708,0.04092211,2525,537,54569
